smarts,group,Gh,Gh_err,Gh_n,Hh,Hh_err,Hh_n,Cph,Cph_err,Cp_count,V,V_err,V_count,refs,elem,published_notes,personal_notes 1,personal_notes 2
Yo,Yo,7.95,,,-2.29,,,0,,,1.12,,,Plyasunov et al. 2004a,,,material point,
[C!H3]-[CX4H3R0],C-(C)(H)3,3.72,0.07,136,-8.19,0.18,99,132,4,38,25.56,0.64,52,Plyasunov et al. 2004a,CH3,,,
[CX4H3R0]-O,C-(O)(H)3,3.72,0.07,136,-8.19,0.18,99,132,4,38,25.56,0.64,52,Plyasunov et al. 2004a,CH3,,,
C-[CX4H2R0]-C,C-(C)(H)2,0.68,0.03,96,-3.52,0.09,63,62,2,20,15.61,0.11,29,Plyasunov et al. 2004a,CH2,,typo in table,
C-[CX4H1R0](-C)-C,C-(C)(H),-1.93,0.16,32,2.34,0.54,22,-17,10,2,5.96,0.8,8,Plyasunov et al. 2004a,CH,,typo in table,
C-[CX4H0R0](-C)(-C)-C,C-(C)4,-4.6,0.32,7,10.87,1,4,-97,12,2,-4.08,1.41,2,Plyasunov et al. 2004a,C,,,
O-[CX4H2]-C,C-(C)(H)2(O),0.77,0.2,50,-5.17,0.4,40,68,6,16,17.25,0.5,16,Plyasunov et al. 2004a,CH2,,,
C-[CX4H1](-C)[OH],C-(C)2(H)(O)alcohol,-1.64,0.28,13,-1.88,0.65,12,6,10,3,7.48,0.86,10,Plyasunov et al. 2004a,CH,,,
C-[CX4H0](-C)(-C)[OH],C-(C)3(O)alcohol,-4.58,0.35,5,0.88,0.85,5,-56,12,2,-2.43,1.43,5,Plyasunov et al. 2004a,C,,,
C-[OX2H],O-(C)(H),-25.46,0.24,37,-38.34,0.52,33,9,7,15,11.35,0.83,27,Plyasunov et al. 2004a,OH,,,
C-[C](-C)=O,CO-(C)2,-23.46,0.27,19,-22.76,0.59,23,-92,9,3,14.81,1.68,10,Plyasunov et al. 2004a,C,,,
C-[CH2]-C=O,C-(CO)(H)2(C),1.15,0.28,37,-3.94,0.38,16,61,4,8,15.43,0.82,7,Plyasunov et al. 2004a,,,includes more information than SMARTS 2nd order,proposed correction
C-[CH](-C)-C=O,C-(CO)(H)(C)2,-0.88,0.29,8,2.39,0.92,8,0,,,4.12,2.03,3,Plyasunov et al. 2004a,,,includes more information than SMARTS 2nd order,proposed correction
C-[C](-C)(-C)-C=O,C-(CO)(C)3,-2.5,0.49,3,10.81,0.72,3,-102,14,1,-4.75,3.44,1,Plyasunov et al. 2004a,,,includes more information than SMARTS 2nd order,proposed correction
C-[C](=O)-O-C,COO-(C)2,-20.53,0.22,40,-21.5,0.54,29,-62,8,9,20.05,1.35,8,Plyasunov et al. 2004a,CO,Provisional ester group;see text.,includes more information than SMARTS 2nd order,proposed correction
[CH](=O)-OC,HCOO-(C),-15.43,0.22,9,-21.81,1.41,6,34,16,2,28.64,0.77,2,Plyasunov et al. 2004a,CHO,Provisional methanoate group; see text,includes more information than SMARTS 2nd order,proposed correction
O=C-O-[CX4H1](-C)-C,C-(C)2(H)(O)ester,-1.46,0.34,5,1.49,0.86,2,0,,,8.43,0.85,2,Plyasunov et al. 2004a,,,wont work for estimations with no Cp - would have to subtract ether group,proposed correction
O=C-O-[CX4H0](-C)(-C)-C,C-(C)3(O)ester,-2.58,0.67,1,10.34,1.58,1,0,,,-1.3,1.48,1,Plyasunov et al. 2004a,,,wont work for estimations with no Cp - would have to subtract ether group,proposed correction
