compound,Gh,Gh_err,Hh,Hh_err,Sh,Sh_err,Cph,Cph_err,V,V_err,a1,a2,a3,a4,c1,c2,omega,note,Gig,Hig,Sig,Cpig,Gaq,Haq,Saq,Cpaq,formula
methanol,-17.51,0.24,-40.63,0.52,-77.54,1.45,9,7,12.47,0.83,10.631093742600001,7.030297943000001,-3.9013501950654734,-0.9792922654780014,33.87491738784276,6.5340099999999985,-0.3878725372305989,,-179.28,-216.2,245.84571323159508,41.726071753642934,-196.79,-256.83,168.30085326178119,50.726071753642934,HO
ethanol,-13.02,0.32,-53.99,0.68,-137.4,3.8,209,10,55.28,1.16,46.6668873248,32.359463664,43.63507273359673,-18.891539893344003,24.931773565337227,10.34602,-0.5177745608955808,,-179.28,-216.2,245.84571323159508,41.726071753642934,-196.79,-256.83,168.30085326178119,50.726071753642934,C2H6O
1-propanol,-12.34,0.32,-57.51,0.69,-151.5,4.3,271,10,70.89,1.17,59.755146070799995,41.729015694000005,62.270042408706374,-25.732305707724,23.568252480998098,10.92334,-0.5384359821255105,,-179.28,-216.2,245.84571323159508,41.726071753642934,-196.79,-256.83,168.30085326178119,50.726071753642934,C3H8O
2-propanol,-11.71,0.38,-58.89,0.85,-158.2,5.6,279,13,71.07,1.36,59.823682782599995,42.050335143,62.496240337329176,-25.834040016677996,22.30273222507427,11.458209999999998,-0.5578232821816052,,-179.28,-216.2,245.84571323159508,41.726071753642934,-196.79,-256.83,168.30085326178119,50.726071753642934,C3H8O
1-butanol,-11.66,0.32,-61.03,0.69,-165.6,4.9,333,10,86.50,1.17,72.80396022,51.2006821,81.19804918446903,-32.649248846599995,22.20219984610221,11.500659999999998,-0.5593721885390188,,-179.28,-216.2,245.84571323159508,41.726071753642934,-196.79,-256.83,168.30085326178119,50.726071753642934,C4H10O
2-butanol,-11.03,0.38,-62.41,0.86,-172.3,6.4,341,13,86.68,1.36,72.85399738320001,51.56989327600001,81.56114110909694,-32.78671038389601,20.934288842355762,12.03553,-0.5790189904555745,,-179.28,-216.2,245.84571323159508,41.726071753642934,-196.79,-256.83,168.30085326178119,50.726071753642934,C4H10O
2-methyl-1-propanol,-11.23,0.36,-59.84,0.87,-163.0,5.7,324,14,86.80,1.41,72.98711151199998,51.55778516,81.66139405744501,-32.82147772936,21.337042914865545,11.86573,-0.5727555730138469,,-179.28,-216.2,245.84571323159508,41.726071753642934,-196.79,-256.83,168.30085326178119,50.726071753642934,C4H10O
2-methyl-2-propanol,-10.93,0.43,-64.32,1.01,-179.1,7.6,349,14,86.72,1.77,72.87150455679999,51.635403423999996,81.63293793239657,-32.813680954304,20.73282655470016,12.120429999999999,-0.5821599527233334,,-179.28,-216.2,245.84571323159508,41.726071753642934,-196.79,-256.83,168.30085326178119,50.726071753642934,C4H10O
1-pentanol,-10.98,0.32,-64.55,0.69,-179.7,5.6,395,10,102.11,1.17,85.8133297724,60.774462882,100.41907022094502,-39.642369309972004,20.833564820295813,12.077979999999998,-0.5805886985627096,,-179.28,-216.2,245.84571323159508,41.726071753642934,-196.79,-256.83,168.30085326178119,50.726071753642934,C5H12O
2-pentanol,-10.35,0.38,-65.93,0.86,-186.4,7.3,403,13,102.29,1.36,85.84486738700001,61.19156578500001,100.9190344320364,-39.81555807561001,19.56321474457307,12.61285,-0.6005002476473509,,-179.28,-216.2,245.84571323159508,41.726071753642934,-196.79,-256.83,168.30085326178119,50.726071753642934,C5H12O
3-pentanol,-10.35,0.38,-65.93,0.86,-186.4,7.3,403,13,102.29,1.36,85.84486738700001,61.19156578500001,100.9190344320364,-39.81555807561001,19.56321474457307,12.61285,-0.6005002476473509,,-179.28,-216.2,245.84571323159508,41.726071753642934,-196.79,-256.83,168.30085326178119,50.726071753642934,C5H12O
2-methyl-1-butanol,-10.55,0.36,-63.36,0.87,-177.1,6.5,386,14,102.41,1.41,85.98363057899999,61.164833345,100.97750722342656,-39.83941567537,19.96674804853111,12.443049999999998,-0.5941522491349489,,-179.28,-216.2,245.84571323159508,41.726071753642934,-196.79,-256.83,168.30085326178119,50.726071753642934,C5H12O
2-methyl-2-butanol,-10.25,0.43,-67.84,1.02,-193.2,8.6,411,15,102.33,1.78,85.859423685,61.264715175,101.01266281753678,-39.84822752055,19.361361107374115,12.69775,-0.6036836886465053,,-179.28,-216.2,245.84571323159508,41.726071753642934,-196.79,-256.83,168.30085326178119,50.726071753642934,C5H12O
3-methyl-1-butanol,-10.55,0.36,-63.36,0.87,-177.1,6.5,386,14,102.41,1.41,85.98363057899999,61.164833345,100.97750722342656,-39.83941567537,19.96674804853111,12.443049999999998,-0.5941522491349489,,-179.28,-216.2,245.84571323159508,41.726071753642934,-196.79,-256.83,168.30085326178119,50.726071753642934,C5H12O
3-methyl-2-butanol,-9.92,0.41,-64.74,1.01,-184,8,394,16,102.59,1.57,86.01467322239999,61.58321763200001,101.48045851650113,-40.013560353472,18.694830085863707,12.97792,-0.6142339832869084,,-179.28,-216.2,245.84571323159508,41.726071753642934,-196.79,-256.83,168.30085326178119,50.726071753642934,C5H12O
"2,2-dimethyl-propanol",-10.2,0.5,-59.50,1.21,-165,9,376,16,102.32,1.83,85.84152771199999,61.28333615999999,101.02254200759606,-39.851168775359994,19.260412466961643,12.7402,-0.6052777777777782,,-179.28,-216.2,245.84571323159508,41.726071753642934,-196.79,-256.83,168.30085326178119,50.726071753642934,C5H12O
1-hexanol,-10.30,0.32,-68.07,0.69,-193.8,6.3,457,10,117.72,1.17,98.78325472799999,70.45035804,119.9330820624891,-46.71166709783999,19.462295192702197,12.655299999999999,-0.602091179385531,,-179.28,-216.2,245.84571323159508,41.726071753642934,-196.79,-256.83,168.30085326178119,50.726071753642934,C6H14O
2-hexanol,-9.67,0.38,-69.45,0.86,-201,8,465,13,117.90,1.36,98.796292794,70.91535267,120.56989626144794,-46.920583091820006,18.189456409648503,13.190169999999998,-0.6222728632691736,,-179.28,-216.2,245.84571323159508,41.726071753642934,-196.79,-256.83,168.30085326178119,50.726071753642934,C6H14O
3-hexanol,-9.67,0.38,-69.45,0.86,-201,8,465,13,117.90,1.36,98.796292794,70.91535267,120.56989626144794,-46.920583091820006,18.189456409648503,13.190169999999998,-0.6222728632691736,,-179.28,-216.2,245.84571323159508,41.726071753642934,-196.79,-256.83,168.30085326178119,50.726071753642934,C6H14O
2-methyl-1-pentanol,-9.87,0.36,-66.88,0.87,-191,7,448,14,118.02,1.41,98.94070504919999,70.873995906,120.58659603503355,-46.933530945876,18.5937848363875,13.02037,-0.6158385587737638,,-179.28,-216.2,245.84571323159508,41.726071753642934,-196.79,-256.83,168.30085326178119,50.726071753642934,C6H14O
