compound,actual,prediction,pred errs
Methane,212.3,220.08,6.56
Methane,209.0,220.08,6.56
Methane,217.0,220.08,6.56
Methane,242.0,220.08,6.56
Methane,212.3,220.08,6.56
Methane,209.0,220.08,6.56
Methane,217.0,220.08,6.56
Methane,242.0,220.08,6.56
Ethane,273.0,291.33,10.72
Ethane,284.0,291.33,10.72
Ethane,317.0,291.33,10.72
Propane,319.0,319.51,4.24
Propane,332.0,319.51,4.24
Propane,389.0,319.51,4.24
n-Butane,383.0,383.06,4.46
n-Butane,390.0,383.06,4.46
n-Pentane,458.0,446.61,4.67
n-Pentane,446.0,446.61,4.67
n-Pentane,452.0,446.61,4.67
n-Hexane,493.0,510.15,4.86
n-Hexane,492.4,510.15,4.86
n-Heptane,540.0,573.7,5.05
n-Octane,587.0,637.25,5.24
2-Methylpropane,360.0,378.68,11.58
2-Methylpropane,377.0,378.68,11.58
"2,2-Dimethylpropane",486.0,441.86,15.07
Ethene,237.0,237.0,18.56
Propene,278.0,289.18,14.95
"1,3-Butadiene",325.0,322.4,20.76
1-Butene,389.0,352.73,15.01
2-Methyl-1-propene,365.0,365.0,25.62
Ethyne,154.0,154.0,34.94
Propyne,203.0,203.0,23.12
"1,3-Dimethylbenzene",357.2,355.8,8.06
"1,4-Dimethylbenzene",358.0,355.8,8.06
"1,4-Dimethylbenzene",350.0,355.8,8.06
"1,4-Dimethylbenzene",358.0,355.8,8.06
Ethylbenzene,405.4,390.45,6.37
Ethylbenzene,376.4,390.45,6.37
n-Propylbenzene,453.1,454.0,6.51
Cyclopropane,303.0,303.0,18.56
Cyclopentane,323.2,340.7,3.64
Cyclohexane,409.7,408.85,3.99
Methylcyclohexane,504.0,504.0,21.4
Methanol,111.8,128.11,10.65
Methanol,113.8,128.11,10.65
Methanol,112.8,128.11,10.65
Methanol,112.8,128.11,10.65
Methanol,113.8,128.11,10.65
Methanol,113.8,128.11,10.65
Methanol,133.8,128.11,10.65
Methanol,111.8,128.11,10.65
Ethanol,193.6,205.97,10.56
Ethanol,202.6,205.97,10.56
Ethanol,197.6,205.97,10.56
Ethanol,195.6,205.97,10.56
Ethanol,194.6,205.97,10.56
Ethanol,195.6,205.97,10.56
Ethanol,194.6,205.97,10.56
Ethanol,210.6,205.97,10.56
Ethanol,188.6,205.97,10.56
n-Propanol,272.4,269.52,10.65
n-Propanol,275.4,269.52,10.65
n-Propanol,270.4,269.52,10.65
n-Propanol,269.4,269.52,10.65
n-Propanol,268.4,269.52,10.65
n-Propanol,266.4,269.52,10.65
n-Propanol,264.4,269.52,10.65
n-Propanol,267.4,269.52,10.65
n-Propanol,260.4,269.52,10.65
n-Propanol,294.4,269.52,10.65
n-Propanol,267.4,269.52,10.65
n-Butanol,335.0,333.06,10.73
n-Butanol,334.0,333.06,10.73
n-Butanol,339.0,333.06,10.73
n-Butanol,346.0,333.06,10.73
n-Butanol,338.0,333.06,10.73
n-Butanol,336.0,333.06,10.73
n-Butanol,333.0,333.06,10.73
n-Butanol,332.0,333.06,10.73
n-Butanol,330.0,333.06,10.73
n-Butanol,337.0,333.06,10.73
n-Butanol,329.0,333.06,10.73
n-Butanol,369.0,333.06,10.73
n-Butanol,329.0,333.06,10.73
1-Pentanol,413.0,396.61,10.82
1-Pentanol,447.0,396.61,10.82
1-Pentanol,409.0,396.61,10.82
1-Pentanol,404.0,396.61,10.82
1-Pentanol,401.0,396.61,10.82
1-Pentanol,399.0,396.61,10.82
1-Pentanol,393.0,396.61,10.82
1-Pentanol,426.0,396.61,10.82
n-Hexanol,484.3,460.16,10.91
n-Hexanol,461.3,460.16,10.91
n-Hexanol,456.3,460.16,10.91
n-Heptanol,521.6,523.7,10.99
n-Heptanol,559.6,523.7,10.99
n-Octanol,578.9,587.25,11.08
2-Propanol,279.4,287.68,12.86
2-Propanol,272.4,287.68,12.86
2-Propanol,297.4,287.68,12.86
2-Propanol,271.4,287.68,12.86
2-Butanol,350.9,351.22,12.93
2-Butanol,335.9,351.22,12.93
2-Butanol,369.9,351.22,12.93
2-Methyl-1-propanol,326.8,328.68,15.14
2-Methyl-1-propanol,323.8,328.68,15.14
2-Methyl-1-propanol,355.8,328.68,15.14
2-Methyl-2-propanol,351.0,356.05,14.92
2-Methyl-2-propanol,349.0,356.05,14.92
2-Methyl-2-propanol,350.0,356.05,14.92
2-Methyl-2-propanol,349.0,356.05,14.92
2-Methyl-2-propanol,350.0,356.05,14.92
2-Methyl-2-propanol,350.0,356.05,14.92
2-Methyl-2-propanol,382.0,356.05,14.92
2-Methyl-2-propanol,370.0,356.05,14.92
"2,2-Dimethyl-1-propanol",369.8,391.87,17.95
"2,2-Dimethyl-1-propanol",369.8,391.87,17.95
2-Methyl-2-butanol,407.3,419.6,14.98
2-Methyl-2-butanol,429.3,419.6,14.98
3-Pentanol,404.7,414.77,13.0
2-Propen-1-ol,265.0,239.19,17.85
2-Buten-1-ol,301.8,301.8,17.03
3-Buten-1-ol,301.4,302.73,17.91
3-Pentyn-1-ol,286.7,286.7,17.01
4-Penten-1-ol,311.5,366.28,17.96
Cyclopentanol,329.0,304.27,12.64
Cyclopentanol,375.0,304.27,12.64
Cyclohexanol,368.3,372.41,12.74
Cyclohexanol,330.3,372.41,12.74
Cyclohexanol,350.3,372.41,12.74
Cyclohexanol,390.3,372.41,12.74
Cycloheptanol,432.7,440.56,12.85
Acetone,165.5,168.19,9.26
Acetone,150.5,168.19,9.26
Acetone,166.0,168.19,9.26
Acetone,165.5,168.19,9.26
2-Butanone,233.7,228.41,11.99
2-Butanone,233.7,228.41,11.99
2-Butanone,233.3,228.41,11.99
3-Pentanone,298.4,288.63,14.21
Diethyl ether,303.5,303.6,12.59
2-Methoxy-2-Methylpropane,330.0,330.0,22.33
"1,2-Dimethoxyethane",242.4,246.48,23.79
"1,2-Dimethoxyethane",258.4,246.48,23.79
1-Ethoxy-2-methoxyethane,320.7,320.08,24.61
"1,2-Diethoxyethane",407.9,393.69,25.41
"1,2-Diethoxyethane",406.9,393.69,25.41
1-Methoxy-2-propoxyethane,397.9,387.89,23.79
1-Butoxy-2-methoxypropane,464.0,464.0,28.11
"1,2-Dipropoxyethane",492.2,529.3,23.78
Anesthenyl,179.9,179.64,19.69
"1,1-Diethoxymethane",335.1,335.36,19.58
Diethylene glycol diethyl ether,479.3,492.3,32.39
Tetraglyme,546.6,542.3,42.14
Methyl Formate,176.0,161.57,13.97
Ethyl Formate,225.0,239.43,13.89
Methyl Acetate,213.0,196.97,12.16
